,params.z_algorithm,params.z_dataset,metrics.spearman_value,metrics.mae_value,metrics.mae_log_value,metrics.pearson_value
23,dmkde,arc,0.9942938982938984,0.005205702304840088,0.3219869079589844,0.9938280099915775
21,dmkde,arc,0.9772661692661693,0.017860507965087893,0.644508056640625,0.9757265556925556
25,made,arc,0.9993200193200193,0.0003548879027366638,0.03915459060668945,0.9993232241370081
0,inverse_maf,arc,0.9977763857763857,0.0007054688930511475,0.05974138259887696,0.9973660166427322
28,planar_flow,arc,0.7395236535122311,0.01970895767211914,1.7976931348623157e+308,0.6555214931387316
0,neural_splines,arc,0.9650448156290836,0.005716223239898682,1.7976931348623157e+308,0.9583097717211038
30,dmkde,bimodal_l,0.9953691113691113,0.0013566908836364746,0.11729196166992188,0.9961902882581828
41,dmkde_sgd,bimodal_l,0.9940579900579901,0.015150933265686036,1.0921417236328126,0.9943849184236617
3,made,bimodal_l,0.9923878643878645,0.0009402297735214233,0.048275730133056645,0.9937271533246615
6,inverse_maf,bimodal_l,0.99179005979006,0.0010070652961730957,0.05577684020996094,0.993342038307264
6,planar_flow,bimodal_l,0.9442890082890083,0.002876335620880127,0.1952165222167969,0.9472099876014083
0,neural_splines,bimodal_l,0.9892128412128413,0.0011881736516952514,0.14589358520507814,0.9908410214370167
21,dmkde,binomial,0.9990533670533672,0.02856621551513672,0.5992365112304687,0.9987668473629882
19,dmkde_sgd,binomial,0.9986062706062706,0.026618154525756835,0.5973307495117187,0.9949156315121808
27,made,binomial,0.9990532110532112,0.0008381195664405823,0.03509917449951172,0.9990996598215675
0,inverse_maf,binomial,0.9991339831339832,0.0007579580545425415,0.026678638458251955,0.9991661066587365
29,planar_flow,binomial,0.9866425106425105,0.0032021489143371582,0.11336177062988281,0.9859843331715281
0,neural_splines,binomial,0.9988339588339589,0.0010208652019500733,0.04778040313720703,0.9988118663019596
48,dmkde,potential_1,0.9902457298360504,0.008938799858093262,0.14381741333007814,0.9914100143374958
40,dmkde,potential_1,0.9839177272422718,0.07346846008300781,0.5925914306640625,0.9860444133907484
103,made,potential_1,0.9516234735916594,0.010448101043701172,0.16441485595703126,0.9616368094411474
29,inverse_maf,potential_1,0.9667217933241086,0.009669752120971679,0.15986819458007812,0.9695356293242379
5,planar_flow,potential_1,0.8636659859399575,0.023473020553588866,0.3614754028320313,0.8506005531618244
2,neural_splines,potential_1,0.9723357951738985,0.0069456233978271486,0.09850236511230469,0.9793077829807445
28,dmkde,potential_2,0.9072189501677258,0.027339168548583984,0.28146563720703127,0.9623226664937167
40,dmkde,potential_2,0.8112259677385746,0.054766845703125004,0.421729248046875,0.8652728982273
0,made,potential_2,0.8478459091236739,0.047496231079101565,0.5543826293945313,0.9023329464297016
0,inverse_maf,potential_2,0.8373762868465146,0.05138497924804688,0.5778314208984375,0.8858585463944426
5,planar_flow,potential_2,0.5539563569882607,0.06191218566894531,0.7833756103515626,0.5713862302582671
18,neural_splines,potential_2,0.8175345178338228,0.05197454071044922,0.6080272216796875,0.8656523721054591
25,dmkde,potential_3,0.8665350865350865,0.03210036468505859,0.37787451171875003,0.8581788078853247
9,dmkde_sgd,potential_3,0.8557928317928317,0.023140407562255858,0.3153146057128906,0.8344763549305312
6,made,potential_3,0.8059068499068499,0.022454055786132812,0.28436090087890625,0.7922060682894788
13,inverse_maf,potential_3,0.8113211353211355,0.021835445404052734,0.28390054321289065,0.7989071093911131
29,planar_flow,potential_3,0.627959511959512,0.03403105163574219,0.5501771240234375,0.5972319283183355
18,neural_splines,potential_3,0.8124871884871885,0.021851518630981445,0.3048465576171875,0.796632178019703
25,dmkde,potential_4,0.8928235368235368,0.048127784729003906,0.46926165771484374,0.892746345996223
9,dmkde_sgd,potential_4,0.9094324534324536,0.03774375915527344,0.415071533203125,0.9052818826682161
13,made,potential_4,0.8767898767898769,0.031212472915649415,0.40067913818359374,0.8745515288342899
6,inverse_maf,potential_4,0.8791411591411592,0.033063735961914066,0.43400714111328126,0.8718547327027558
0,planar_flow,potential_4,0.6034009474009474,0.04506053161621094,0.7258118896484376,0.5343612564619873
10,neural_splines,potential_4,0.8816304056304057,0.03082007598876953,0.41328790283203126,0.8818521082525829
35,dmkde,star_eight,0.987098643098643,0.010243257522583009,0.3225831909179688,0.9859688289829845
9,dmkde_sgd,star_eight,0.9347896187896189,0.01614990997314453,0.43203167724609376,0.9259694173867017
28,made,star_eight,0.771024087024087,0.01964533233642578,0.3919143371582031,0.738620391297636
5,inverse_maf,star_eight,0.734850974850975,0.02319575500488281,0.5098240051269531,0.6828053668118135
29,planar_flow,star_eight,0.59396324996325,0.03883487319946289,1.05217626953125,0.583611557178141
30,neural_splines,star_eight,0.9042254922254921,0.017190799713134766,0.3747492065429688,0.8628091384145485
48,dmkde,swiss_roll,0.9936470346279758,0.0028014326095581053,0.19064306640625,0.9945806113349049
17,dmkde,swiss_roll,0.9685805125805127,0.03443632507324219,0.8335679931640625,0.9836706352521821
28,made,swiss_roll,0.9713192753192754,0.003954854249954224,0.1889285888671875,0.9712237746334421
0,inverse_maf,swiss_roll,0.9475494835494837,0.0045016765594482425,0.22148361206054687,0.9609725796999636
16,planar_flow,swiss_roll,0.7753116913116914,0.02225276565551758,5.9142294921875,0.8405732676974835
0,neural_splines,swiss_roll,0.9451115131115132,0.00506959342956543,0.26941973876953124,0.9582863172729643
